iter	Accuracy	Logloss
470	0.9821888915	0.2943887077
471	0.9821888915	0.2938984465
472	0.9817201781	0.2932807016
473	0.9817201781	0.2927068296
474	0.9817201781	0.2921402054
475	0.9817201781	0.2916108776
476	0.9819545348	0.2910647049
477	0.9819545348	0.2906755378
478	0.9819545348	0.2900633684
479	0.9819545348	0.2896398965
480	0.9819545348	0.2891219242
481	0.9814858214	0.2886125522
482	0.9814858214	0.2880963908
483	0.9814858214	0.287528335
484	0.9814858214	0.2871534792
485	0.9819545348	0.2866734411
486	0.9821888915	0.286231525
487	0.9817201781	0.2857156756
488	0.9817201781	0.2852592137
489	0.9819545348	0.2846002719
490	0.9821888915	0.2840539304
491	0.9824232482	0.2835923536
492	0.9826576049	0.2831418962
493	0.9828919616	0.2825577019
494	0.9828919616	0.2821928134
495	0.9826576049	0.2816834806
496	0.9828919616	0.2812226806
497	0.9828919616	0.2807616182
498	0.9831263183	0.2801960253
499	0.9831263183	0.2797412261
500	0.9824232482	0.2791104311
501	0.9826576049	0.2786192908
502	0.9826576049	0.2781218476
503	0.9828919616	0.2776054563
504	0.9828919616	0.277124262
505	0.9828919616	0.2767002917
506	0.9831263183	0.276286056
507	0.9833606749	0.2757698718
508	0.9833606749	0.275254037
509	0.9833606749	0.2748409307
510	0.9835950316	0.2743606913
511	0.9842981017	0.2739401832
512	0.9845324584	0.2734108124
513	0.9842981017	0.2728812866
514	0.984063745	0.2724608764
515	0.9842981017	0.2719357625
516	0.9842981017	0.2715336211
517	0.9842981017	0.2712590288
518	0.9842981017	0.2708583438
519	0.9842981017	0.2704123649
520	0.9842981017	0.2699329725
521	0.984063745	0.2693077314
522	0.984063745	0.2686587274
523	0.984063745	0.2680872689
524	0.984063745	0.2676756312
525	0.9845324584	0.267105019
526	0.9845324584	0.2666759079
527	0.9847668151	0.2662564024
528	0.9845324584	0.2658428277
529	0.9850011718	0.265284503
530	0.9850011718	0.2649490912
531	0.9847668151	0.2645195266
532	0.9850011718	0.2640615911
533	0.9852355285	0.2635801246
534	0.9852355285	0.2631677478
535	0.9852355285	0.2627520183
536	0.9852355285	0.2623576907
537	0.9852355285	0.2620147248
538	0.9854698852	0.2616561898
539	0.9852355285	0.2613055124
540	0.9852355285	0.2609119411
541	0.9854698852	0.2604553686
542	0.9857042419	0.2600165079
543	0.9859385985	0.2595186531
544	0.9854698852	0.2590696699
545	0.9857042419	0.2586104333
546	0.9857042419	0.2581010802
547	0.9857042419	0.2576277561
548	0.9857042419	0.2570346323
549	0.9854698852	0.2565009678
550	0.9857042419	0.2559735839
551	0.9857042419	0.2556194705
552	0.9857042419	0.2553208305
553	0.9861729552	0.2548654391
554	0.9861729552	0.2544286078
555	0.9857042419	0.2540233066
556	0.9859385985	0.2535057327
557	0.9857042419	0.2529921982
558	0.9861729552	0.2526891296
559	0.9861729552	0.2522309766
560	0.9861729552	0.2518608276
561	0.9861729552	0.2515241157
562	0.9859385985	0.2510418225
563	0.9861729552	0.2505170038
564	0.9861729552	0.2502111935
565	0.9859385985	0.2499246873
566	0.9864073119	0.249545422
567	0.9864073119	0.2491630817
568	0.9861729552	0.248688573
569	0.9864073119	0.248265772
570	0.9866416686	0.2477386648
571	0.9866416686	0.2473087731
572	0.9868760253	0.246770556
573	0.9868760253	0.2464769926
574	0.9868760253	0.2461131086
575	0.9875790954	0.2456646994
576	0.9875790954	0.2452403408
577	0.9878134521	0.2449407308
578	0.9878134521	0.2445586973
579	0.9882821655	0.2441626597
580	0.9880478088	0.2438643397
581	0.9880478088	0.2433940638
582	0.9878134521	0.2429159735
583	0.9882821655	0.2425045931
584	0.9878134521	0.2421048956
585	0.9875790954	0.2416555488
586	0.9882821655	0.2413841786
587	0.9882821655	0.2408466035
588	0.9882821655	0.2404809888
589	0.9882821655	0.2400280151
590	0.9882821655	0.2396443248
591	0.9882821655	0.2392539017
592	0.9882821655	0.2389008514
593	0.9882821655	0.2385281511
594	0.9882821655	0.2381918083
595	0.9882821655	0.2377637817
596	0.9882821655	0.2373277509
597	0.9882821655	0.2369537203
598	0.9880478088	0.2366291324
599	0.9882821655	0.2362067186
600	0.9882821655	0.2356399653
601	0.9880478088	0.2353047444
602	0.9880478088	0.2350356538
603	0.9880478088	0.2346819075
604	0.9882821655	0.2341933168
605	0.9882821655	0.2338758021
606	0.9882821655	0.2334784479
607	0.9882821655	0.2330903426
608	0.9882821655	0.2326925862
609	0.9882821655	0.2324469878
610	0.9882821655	0.2321372623
611	0.9882821655	0.2317247513
612	0.9885165221	0.2313807939
613	0.9887508788	0.2309914525
614	0.9887508788	0.2306127799
615	0.9887508788	0.230223592
616	0.9887508788	0.2297418118
617	0.9885165221	0.2293258305
618	0.9885165221	0.2289524657
619	0.9885165221	0.2286356093
620	0.9887508788	0.2282026085
621	0.9887508788	0.227782416
622	0.9887508788	0.2273889271
623	0.9887508788	0.2271420735
624	0.9887508788	0.2267480862
625	0.9887508788	0.2263643546
626	0.9887508788	0.2260002897
627	0.9887508788	0.2256808553
628	0.9887508788	0.225370658
629	0.9887508788	0.2250264376
630	0.9887508788	0.2246035565
631	0.9887508788	0.2241762349
632	0.9882821655	0.2238283498
633	0.9882821655	0.2234689696
634	0.9882821655	0.2231156042
635	0.9882821655	0.2227423626
636	0.9885165221	0.2224627456
637	0.9885165221	0.2220781793
638	0.9885165221	0.2216669538
639	0.9885165221	0.2213630784
640	0.9885165221	0.2210075824
641	0.9887508788	0.2206839829
642	0.9887508788	0.2203895312
643	0.9887508788	0.2200903897
644	0.9889852355	0.2197614318
645	0.9892195922	0.2194640163
646	0.9892195922	0.2191131552
647	0.9889852355	0.2186158087
648	0.9892195922	0.2182502012
649	0.9892195922	0.2178844448
650	0.9892195922	0.2175353168
651	0.9894539489	0.2171594112
652	0.9894539489	0.2167126494
653	0.9894539489	0.2163969969
654	0.9894539489	0.2160016296
655	0.9894539489	0.2155909922
656	0.9892195922	0.2152686479
657	0.9892195922	0.2149847224
658	0.9892195922	0.2146249871
659	0.9892195922	0.2143287222
660	0.9894539489	0.2139101572
661	0.9894539489	0.2135785394
662	0.9894539489	0.2132104481
663	0.9894539489	0.2129022242
664	0.9894539489	0.2125161928
665	0.9896883056	0.2120947718
666	0.9896883056	0.2117829392
667	0.9896883056	0.2114519062
668	0.9894539489	0.211135968
669	0.9899226623	0.2107720634
670	0.9899226623	0.2104193401
671	0.9899226623	0.2100773894
672	0.9899226623	0.2096766555
673	0.9899226623	0.2093330744
674	0.990157019	0.2088778243
675	0.990157019	0.2083661108
676	0.9903913757	0.2079667378
677	0.9903913757	0.2076325033
678	0.9903913757	0.207244799
679	0.9903913757	0.206990792
680	0.9903913757	0.2066999582
681	0.9903913757	0.2063467271
682	0.9903913757	0.2060109577
683	0.9903913757	0.2056722642
684	0.9903913757	0.2054277256
685	0.9903913757	0.2050994228
686	0.9903913757	0.2047968642
687	0.9903913757	0.2044093505
688	0.9903913757	0.204061396
689	0.9903913757	0.2037839168
690	0.9903913757	0.2035116469
691	0.9906257324	0.2032567878
692	0.9906257324	0.202908051
693	0.9908600891	0.2024945736
